video_id,crawl_time,music_id,music_mid,music_title,music_author,music_owner_id,music_owner_nickname,music_duration,music_shoot_duration,is_original_sound,is_commerce_music,music_status,music_collect_count,music_cover_url_list,music_play_url_list
7605078447808285041,2026-05-09 21:59:25.591900,7560618091928242186,,,BLASK,203823199051339,,139,,False,,,,,
7605083290021678376,2026-05-09 21:59:39.186475,7605084726566587179,,@暴走老李（流浪食记）创作的原声,暴走老李（流浪食记）,2825059300280361,暴走老李（流浪食记）,222,,False,,,,,
7605084999448761265,2026-05-09 21:59:45.589311,7044185859922329634,,@秒听歌单创作的原声,秒听歌单,2112636876757728,秒听歌单,185,,False,,,,,
7605085668968041763,2026-05-09 21:59:59.459404,,,直播间带货榜,,,,,,,,,,,
7605090106180996358,2026-05-09 22:00:20.958927,7605090474151414534,,@麦炫疯MVP创作的原声,麦炫疯MVP,106031063685,麦炫疯MVP,604,,False,,,,,
7605099148534189321,2026-05-09 22:00:28.299723,7605099484007205641,,@抖音精选官方账号创作的原声,抖音精选官方账号,1502366381902464,抖音精选官方账号,1082,,False,,,,,
7605103373188189486,2026-05-09 22:00:37.170232,,,,,,,,,,,,,,
7605115313167912226,2026-05-09 22:00:40.407561,,,直播间带货榜,,,,,,,,,,,
7605117328174501139,2026-05-09 22:00:43.743772,7605117377377815346,,@音幕创作的原声,音幕,4443574575046396,音幕,377,,False,,,,,
7605123123365497499,2026-05-09 22:00:48.883219,,,直播间带货榜,,,,,,,,,,,
7605130050542832947,2026-05-09 22:00:51.333181,7605130176493603627,,@云社君创作的原声,云社君,1073585571498119,云社君,248,,False,,,,,
7605130058524609818,2026-05-09 22:00:54.106206,7605130575900445450,,@老黎探剧创作的原声,老黎探剧,3491702790440253,老黎探剧,1325,,False,,,,,
7605132619512139048,2026-05-09 22:00:59.688317,7605133068768135946,,@老马哄睡宇宙创作的原声,老马哄睡宇宙,3536487459069031,老马哄睡宇宙,1110,,False,,,,,
7605133334242528562,2026-05-09 22:01:08.332357,,,,,,,,,,,,,,
7605138865829851200,2026-05-09 22:01:10.566835,7605138875543079689,,三角洲行动,大丽三角洲行动,4251159681565546,大丽三角洲行动,155,,False,,,,,
7605139587539239013,2026-05-09 22:01:18.994637,,,,,,,,,,,,,,
7605141261988946792,2026-05-09 22:01:40.631170,,,直播间带货榜,,,,,,,,,,,
7605144480890522880,2026-05-09 22:01:42.942086,,,,,,,,,,,,,,
7605149399638969636,2026-05-09 22:01:46.480080,7605149601552665370,,WAKE UP! - Sped Up,飛哥呦,3966637158711080,飛哥呦,143,,False,,,,,
7605154583966420243,2026-05-09 22:01:52.372103,7605154791513230134,,@Ai视频生成教学创作的原声,Ai视频生成教学,78316818165,Ai视频生成教学,1682,,False,,,,,
7605157782739897638,2026-05-09 22:02:06.156198,7605157969176709931,,@猪哥游戏解说创作的原声,猪哥游戏解说,3245404635006448,猪哥游戏解说,295,,False,,,,,
7605158000101182756,2026-05-09 22:02:21.099523,7605158142242360105,,@时尚边角料创作的原声,时尚边角料,142314558732032,时尚边角料,84,,False,,,,,
7605159795833703686,2026-05-09 22:02:30.530244,,,直播间带货榜,,,,,,,,,,,
7605160714780593449,2026-05-09 22:02:33.045975,7605161042850695982,,@穿毛裤的小拉泽创作的原声,穿毛裤的小拉泽,4234972565605982,穿毛裤的小拉泽,587,,False,,,,,
7605164093934275883,2026-05-09 22:02:40.793696,,,直播间带货榜,,,,,,,,,,,
7605164823495724330,2026-05-09 22:02:43.437104,7605165116795259689,,@帧述创作的原声,帧述,4152227996118312,帧述,322,,False,,,,,
7605170245396864232,2026-05-09 22:02:50.466750,7605170096178121526,,@一朵云cloud（测评版创作的原声,一朵云cloud（测评版,256613826955924,一朵云cloud（测评版,27,,False,,,,,
7605171096479862052,2026-05-09 22:02:53.341881,,,,,,,,,,,,,,
7605173930139077938,2026-05-09 22:02:57.189881,7605174097718872875,,@大王评车创作的原声,大王评车,1731043634193328,大王评车,221,,False,,,,,
7605175037038355109,2026-05-09 22:03:03.231319,,,,,,,,,,,,,,
7605176499457732736,2026-05-09 22:03:05.947831,7605176499024743195,,@东方宋创作的原声,东方宋,4410844527985372,东方宋,319,,False,,,,,
7605177000685447153,2026-05-09 22:03:13.365677,7605177060583197455,,无敌小可爱,半途鹅飞,97097715312,半途鹅飞,604,,False,,,,,
7605177045475917937,2026-05-09 22:03:21.839978,,,直播间带货榜,,,,,,,,,,,
7605180193380468069,2026-05-09 22:03:24.685577,,,直播间带货榜,,,,,,,,,,,
7605180918755964850,2026-05-09 22:03:27.557561,,,直播间带货榜,,,,,,,,,,,
7605181021159558419,2026-05-09 22:03:30.250620,7605181345284311850,,@猪哥游戏解说创作的原声,猪哥游戏解说,3245404635006448,猪哥游戏解说,228,,False,,,,,
7605185260209846138,2026-05-09 22:03:39.047763,7605185176058268467,,春娇与志明（高冷锅包肉 Remix）,饺子WTF,2518346399230276,饺子WTF,209,,False,,,,,
7605187692435807370,2026-05-09 22:03:53.647047,7605187591792610099,,Akaza Mugenjo Kaiyu,幻咩咩,3619244324958030,幻咩咩,255,,False,,,,,
7605192237844122918,2026-05-09 22:04:05.316431,7605192489930443530,,@大飞评车创作的原声,大飞评车,162383628337659,大飞评车,538,,False,,,,,
7605193423230905280,2026-05-09 22:04:10.129779,7605193406331276082,,,麻吉大叔,4242333923018035,麻吉大叔,473,,False,,,,,
7605194095530741044,2026-05-09 22:04:18.121386,7605194545298836250,,@王开乒乓创作的原声,王开乒乓,73457860344,王开乒乓,226,,False,,,,,
7605196131735804367,2026-05-09 22:04:25.299925,,,,,,,,,,,,,,
7605200301079055525,2026-05-09 22:04:28.349311,7604383772510784306,,谁画出这天地 又画出我和你,耳朵乌托邦,695309642760222,耳朵乌托邦,27,,False,,,,,
7605208165118568037,2026-05-09 22:04:35.855240,,,直播间带货榜,,,,,,,,,,,
7605212850579998201,2026-05-09 22:04:38.938272,7605212749483871030,,游京（Dj阿遣 Remix）,Omer,2175263466859449,Omer,213,,False,,,,,
7605214796832787738,2026-05-09 22:04:46.746474,7605480431168916275,,@里由创作的原声,里由,2078546460425896,里由,769,,False,,,,,
7605218796038638886,2026-05-09 22:05:00.704427,7605219224830937906,,@燕姐说影创作的原声,燕姐说影,1209084580740743,燕姐说影,662,,False,,,,,
7605222249427258666,2026-05-09 22:05:18.450779,,,,,,,,,,,,,,
7605235161080319258,2026-05-09 22:05:24.139214,7605235748173908774,,@捕月说Official创作的原声,捕月说Official,206335072277108,捕月说Official,522,,False,,,,,
7605239821782633774,2026-05-09 22:05:29.590785,7605240788548668186,,分享欲（失约的海 Remix）,荒野小鱼,1038366920159323,荒野小鱼,435,,False,,,,,
7605245012923151867,2026-05-09 22:05:32.592850,7605244887826533146,,第五人格,可乐乐乐,98259673214,可乐乐乐,168,,False,,,,,
7605246076626521385,2026-05-09 22:05:35.563828,7605247064485661467,,Evil(暗黑Phonk),环球生物录,504027302343642,环球生物录,1630,,False,,,,,
