sample_id,video_id,author_id,duration_ms,digg_count,comment_count,share_count,collect_count,play_count,recommend_count,admire_count,is_top,is_ads,is_life_item,original,aweme_type,media_type,create_time,follower_count,total_favorited,verification_type,author_status,author_secret,author_prevent_download,origin_cover_width,origin_cover_height,has_watermark,desc_length,desc_word_count,signature_length,avg_comment_text_length,region,music_title,music_author,hashtag_name_top,video_tag_list_str,hashtag_count,video_tag_count,comment_table_count,max_comment_digg_count,chapter_count,related_video_count,author_id_x_top_hashtag,author_id_x_music_title,duration_bucket_x_top_hashtag,has_watermark_x_duration_bucket,interaction_score,label,split
7629275610287795121,7629275610287795121,111176973242,209400,16337,873,7591,2566,0,0,0,0,False,False,0,0,4,1776329152,165608,1870567,1,1,0,False,360,640,False,33,29,53,8.25,CN,@馨多士创作的原声,馨多士,香港,时尚 | 生活记录,5.0,2,4,360,2,6,111176973242_x_香港,111176973242_x_@馨多士创作的原声,medium_x_香港,False_x_medium,27367.0,0,train
7629325567690794995,7629325567690794995,435031951026852,66989,2893,138,612,2412,0,0,0,0,False,False,0,0,4,1776340783,55336,547631,1,1,0,False,640,360,False,87,83,42,8.666666666666666,CN,自制巧克力冰山熔岩,,冰山熔岩巴斯克,旅行 | 科技,5.0,2,3,395,1,6,435031951026852_x_冰山熔岩巴斯克,435031951026852_x_自制巧克力冰山熔岩,medium_x_冰山熔岩巴斯克,False_x_medium,6055.0,0,train
7629362643128150449,7629362643128150449,101876935254,389,21168,748,12012,1106,0,0,0,0,False,False,0,0,4,1776349415,182211,2320983,1,1,0,False,360,640,False,23,20,72,9.5,CN,@饭饭陈住气创作的原声,饭饭陈住气,美食,科技 | 美食,4.0,2,2,493,3,6,101876935254_x_美食,101876935254_x_@饭饭陈住气创作的原声,short_x_美食,False_x_short,35034.0,1,train
7629560213787413800,7629560213787413800,1470503327904825,1203,3294,152,269,559,0,0,0,0,False,False,0,0,4,1776416280,5775,37306,1,1,0,False,480,360,False,29,25,50,8.75,CN,@虎虎不吃素创作的原声,虎虎不吃素,僵尸叔叔,生活记录 | 娱乐,5.0,2,4,258,3,6,1470503327904825_x_僵尸叔叔,1470503327904825_x_@虎虎不吃素创作的原声,short_x_僵尸叔叔,False_x_short,4274.0,0,train
7629647541226753295,7629647541226753295,2575488305595082,251148,60442,745,5111,5763,0,0,0,0,False,False,0,0,4,1776415752,236558,3231337,1,1,0,False,640,360,False,27,23,27,7.75,CN,遗忘是五条悟最悲壮的落幕,,二次元,生活记录,5.0,1,4,435,3,6,2575488305595082_x_二次元,2575488305595082_x_遗忘是五条悟最悲壮的落幕,medium_x_二次元,False_x_medium,72061.0,1,train
7629661151560204276,7629661151560204276,95824239857,251239,5302,251,1900,1304,0,0,0,0,False,False,0,0,4,1776418917,205415,8021525,1,1,0,False,640,360,False,48,45,165,7.75,CN,凑热闹,,日常vlog,旅行,4.0,1,4,298,3,6,95824239857_x_日常vlog,95824239857_x_凑热闹,medium_x_日常vlog,False_x_medium,8757.0,0,train
7629672736956108072,7629672736956108072,2197304320986480,214182,11464,71,338,5456,0,0,0,0,False,False,0,0,4,1776421622,23442,1093006,1,1,0,False,640,360,False,15,13,57,8.0,CN,@雾岛恋影创作的原声,雾岛恋影,地狱客栈,游戏 | 娱乐,3.0,2,4,467,1,6,2197304320986480_x_地狱客栈,2197304320986480_x_@雾岛恋影创作的原声,medium_x_地狱客栈,False_x_medium,17329.0,0,train
7629694390683962624,7629694390683962624,86728097704,237800,37096,434,1128,12761,0,0,0,0,False,False,0,0,4,1776427561,186028,3784629,1,1,0,False,480,360,False,26,22,12,10.0,CN,@漫哥阿哲创作的原声,漫哥阿哲,鬼灭之刃,娱乐 | 萌宠 | 科技,5.0,3,4,392,2,6,86728097704_x_鬼灭之刃,86728097704_x_@漫哥阿哲创作的原声,medium_x_鬼灭之刃,False_x_medium,51419.0,1,train
7629701737275998309,7629701737275998309,3249810519359780,107734,26566,365,15186,3878,0,0,0,0,False,False,0,0,4,1776428366,136356,2517014,1,1,0,False,640,360,False,34,31,35,8.333333333333334,CN,森の小さなレストラン（森林小屋）,,美食vlog,美食,4.0,1,3,292,1,6,3249810519359780_x_美食vlog,3249810519359780_x_森の小さなレストラン（森林小屋）,medium_x_美食vlog,False_x_medium,45995.0,1,train
7629710513185869107,7629710513185869107,471035583937214,1678,115617,2393,9280,11368,0,0,0,0,False,False,0,0,4,1776430418,893627,15666317,1,1,0,False,640,360,False,14,13,37,8.333333333333334,CN,@星空创作的原声,星空,甄嬛传十级观众,游戏 | 科技,2.0,2,3,465,1,6,471035583937214_x_甄嬛传十级观众,471035583937214_x_@星空创作的原声,short_x_甄嬛传十级观众,False_x_short,138658.0,1,train
7630024688740102137,7630024688740102137,3989478267953712,168715,39040,397,13649,2621,0,0,0,0,False,False,0,0,4,1776503559,813569,16941571,1,1,0,False,360,640,False,29,26,37,9.0,CN,@猫猫杨🍤今天吃什么创作的原声,猫猫杨🍤今天吃什么,八爪鱼,娱乐 | 科技,4.0,2,3,316,3,6,3989478267953712_x_八爪鱼,3989478267953712_x_@猫猫杨🍤今天吃什么创作的原声,medium_x_八爪鱼,False_x_medium,55707.0,1,train
7630026128996706225,7630026128996706225,1767610254885699,228483,26381,255,4328,8822,0,0,0,0,False,False,0,0,4,1776598200,38537,472084,1,1,0,False,640,360,False,29,28,46,8.5,CN,@不可能娇黛创作的原声,不可能娇黛,原创动画,时尚,4.0,1,4,234,3,6,1767610254885699_x_原创动画,1767610254885699_x_@不可能娇黛创作的原声,medium_x_原创动画,False_x_medium,39786.0,1,train
7630056950717222159,7630056950717222159,1016361991801070,253075,1452,78,63,130,0,0,0,0,False,False,0,0,4,1776511080,140876,3199047,1,1,0,False,640,360,False,5,5,42,8.5,CN,@在下落天尘创作的原声,在下落天尘,斗破苍穹,游戏 | 时尚 | 搞笑,1.0,3,4,342,2,6,1016361991801070_x_斗破苍穹,1016361991801070_x_@在下落天尘创作的原声,medium_x_斗破苍穹,False_x_medium,1723.0,0,train
7630085171941900456,7630085171941900456,102135554534,149934,9392,151,1257,1157,0,0,0,0,False,False,0,0,4,1776517643,152123,1573268,1,1,0,False,360,640,False,36,32,36,8.75,CN,@小小白今天午休了吗创作的原声,小小白今天午休了吗,青年创作者成长计划,萌宠 | 时尚 | 运动,5.0,3,4,295,2,6,102135554534_x_青年创作者成长计划,102135554534_x_@小小白今天午休了吗创作的原声,medium_x_青年创作者成长计划,False_x_medium,11957.0,0,train
7630096638253616435,7630096638253616435,109480953494,396,19937,194,1038,5812,0,0,0,0,False,False,0,0,4,1776520329,569449,14559436,1,1,0,False,640,360,False,41,38,37,9.5,CN,@贞叶创作的原声,贞叶,贞叶,运动 | 萌宠,4.0,2,2,253,1,6,109480953494_x_贞叶,109480953494_x_@贞叶创作的原声,short_x_贞叶,False_x_short,26981.0,0,train
7630329911005154595,7630329911005154595,3848732669384151,264917,3913,104,193,1493,0,0,0,0,False,False,0,0,4,1776574632,4089,105377,1,1,0,False,640,360,False,40,36,83,8.333333333333334,CN,@兰因絮果创作的原声,兰因絮果,凹凸世界,游戏 | 时尚 | 音乐,5.0,3,3,465,3,6,3848732669384151_x_凹凸世界,3848732669384151_x_@兰因絮果创作的原声,medium_x_凹凸世界,False_x_medium,5703.0,0,train
